               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.049797,            0.011571,                   0,             0.76364,             0.41205,             0.47419,              0.2457,            0.050988,           0.0094037,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.048682,            0.011506,                   0,             0.69104,             0.42169,             0.47921,             0.24331,            0.052882,           0.0092716,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.049155,            0.011491,                   0,             0.67201,             0.38795,             0.44525,             0.23733,            0.051032,           0.0086217,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.049509,            0.011302,                   0,             0.72768,             0.41446,             0.48705,             0.25599,            0.053546,           0.0096526,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.048848,            0.011408,                   0,              0.7368,             0.37349,             0.43198,             0.20964,            0.059379,            0.010644,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.049681,            0.011145,                   0,             0.63964,             0.34217,             0.39442,             0.21138,            0.056386,           0.0096474,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.049586,            0.011068,                   0,             0.70949,             0.43614,             0.46993,             0.24044,            0.052268,            0.010301,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.048573,            0.011311,                   0,             0.73057,             0.45542,             0.51593,             0.26146,            0.049803,           0.0088761,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.048971,            0.011186,                   0,             0.72862,             0.37523,             0.45263,             0.24424,            0.052496,            0.010465,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.048412,            0.011342,                   0,             0.74769,             0.44987,             0.50167,              0.2579,            0.051347,            0.010464,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.049345,            0.011248,                   0,             0.75779,             0.44819,             0.48253,             0.24514,             0.05022,            0.010264,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.048363,            0.011357,                   0,             0.67917,             0.40723,             0.43811,             0.23251,            0.051812,           0.0098605,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.047961,             0.01129,                   0,             0.74558,             0.45783,             0.52102,              0.2664,            0.052714,            0.010122,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.047915,            0.011323,                   0,             0.69118,             0.36867,             0.42407,             0.21922,            0.054225,            0.011074,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.048314,            0.011175,                   0,             0.70446,             0.41928,             0.47924,             0.24782,            0.051874,           0.0098543,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.048357,            0.011176,                   0,              0.7583,             0.37108,             0.44684,             0.23296,            0.051524,            0.010112,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.048361,             0.01114,                   0,             0.70263,             0.37831,              0.4609,             0.24051,            0.052177,             0.01003,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.048186,            0.011183,                   0,             0.68001,             0.39942,             0.46774,             0.24367,            0.052754,           0.0094151,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.047975,            0.011224,                   0,             0.72011,             0.38072,              0.4548,             0.24043,            0.052684,           0.0090685,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.048037,            0.011089,                   0,             0.65436,             0.36867,             0.41913,             0.22755,            0.053691,           0.0099483,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.048094,            0.011094,                   0,             0.63631,             0.32884,             0.37982,             0.20816,              0.0561,            0.010641,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.047374,            0.011119,                   0,               0.675,             0.37035,             0.43904,             0.22942,            0.055103,           0.0096757,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.047019,            0.011177,                   0,             0.73683,             0.39277,             0.46002,             0.23749,            0.051484,            0.008811,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.047094,             0.01086,                   0,              0.7081,             0.39036,             0.44671,             0.22715,            0.055816,            0.011777,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.046131,            0.010901,                   0,             0.66224,             0.41104,             0.45465,              0.2414,            0.053004,           0.0095541,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.046694,            0.010847,                   0,             0.64176,             0.41009,             0.46071,             0.23553,            0.052502,           0.0098698,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.046797,             0.01098,                   0,             0.67454,             0.37457,             0.44169,             0.22895,            0.054129,            0.010696,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.046646,            0.010721,                   0,             0.69497,             0.45019,             0.50314,              0.2533,            0.050266,            0.010672,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.046938,            0.011155,                   0,             0.69618,             0.34217,             0.41323,             0.22469,            0.054634,            0.010159,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.046156,            0.010827,                   0,             0.74695,             0.32289,             0.41277,             0.21533,            0.055896,            0.010477,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.046099,            0.011121,                   0,             0.63822,             0.42169,             0.46986,             0.25052,            0.049566,            0.010253,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.046668,            0.010702,                   0,             0.66845,             0.36436,             0.41934,             0.23587,            0.051116,           0.0094025,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.045953,            0.010576,                   0,             0.73967,             0.31807,             0.39518,             0.22082,            0.054727,            0.010484,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.046828,            0.010815,                   0,               0.709,             0.43133,             0.48078,             0.25227,            0.050314,           0.0098705,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.046521,            0.010644,                   0,             0.73342,             0.32771,             0.41231,             0.22528,             0.05338,           0.0096736,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.045357,             0.01075,                   0,             0.81791,             0.31325,              0.3947,             0.22767,            0.054154,           0.0097136,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.04654,            0.010687,                   0,             0.71997,             0.39036,             0.45817,             0.24022,            0.051357,            0.010312,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.045506,            0.010832,                   0,             0.74752,             0.31807,             0.40119,             0.21702,            0.056065,            0.010945,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.045303,            0.010931,                   0,             0.72415,             0.38313,             0.44146,              0.2328,            0.054295,            0.010119,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.045216,            0.010586,                   0,             0.68196,             0.31325,             0.38748,             0.21439,             0.05649,             0.01043,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.046055,            0.010548,                   0,             0.64037,             0.38554,             0.44476,             0.24119,            0.054123,            0.010376,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.045199,            0.010907,                   0,             0.69029,             0.45542,             0.49088,             0.25811,            0.051863,            0.009572,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.044284,            0.010839,                   0,             0.70654,             0.47229,             0.51097,              0.2626,            0.051203,           0.0090683,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.045118,            0.010601,                   0,             0.65149,             0.41205,             0.46727,             0.24595,             0.05313,            0.010333,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.044615,            0.010416,                   0,             0.79586,             0.30843,             0.39942,             0.22714,            0.056898,            0.010163,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.046321,            0.010763,                   0,             0.77858,              0.4506,              0.5208,             0.26418,            0.051446,            0.010295,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.044918,            0.010487,                   0,             0.63731,             0.37349,             0.42432,              0.2238,            0.054419,            0.010412,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.045037,            0.010683,                   0,             0.68988,             0.36386,             0.44405,             0.23751,            0.052636,            0.010745,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.044307,            0.010592,                   0,             0.69775,             0.36386,             0.44823,             0.24153,            0.052239,            0.010526,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.043927,            0.010589,                   0,             0.73101,             0.42651,             0.50219,             0.25404,            0.053087,            0.010551,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.043451,            0.010498,                   0,              0.7343,             0.34458,             0.43441,             0.23655,            0.052218,            0.010777,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.044956,            0.010634,                   0,             0.72618,             0.42815,             0.50612,              0.2557,            0.051692,             0.01025,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.044008,            0.010462,                   0,             0.68928,              0.3759,             0.46054,             0.23337,             0.05481,            0.010893,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.044164,            0.010306,                   0,             0.72571,             0.44819,             0.51591,             0.26722,            0.051153,           0.0089383,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.044201,            0.010468,                   0,             0.70357,             0.39518,             0.46563,             0.23985,            0.055089,            0.010565,                   0,            0.005578,            0.005578,            0.005578
                 136,             0.04429,            0.010587,                   0,             0.76311,             0.42169,             0.50129,             0.25697,            0.053401,            0.010264,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.043419,              0.0104,                   0,             0.66135,             0.43373,             0.47838,             0.25268,            0.052535,           0.0098844,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.043836,            0.010745,                   0,              0.7021,             0.36627,             0.44906,             0.24476,            0.053267,            0.010104,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.043389,            0.010715,                   0,             0.74468,             0.44277,             0.52888,             0.26626,            0.050981,            0.010096,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.043264,            0.010361,                   0,             0.71571,             0.40723,             0.46619,             0.24694,             0.05366,           0.0094967,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.043929,            0.010402,                   0,             0.72489,             0.38313,              0.4518,             0.24486,            0.052157,           0.0099468,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.044272,           0.0099929,                   0,             0.64317,             0.37349,             0.43011,             0.24488,            0.052396,           0.0096087,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.044154,            0.010201,                   0,              0.7824,             0.39277,             0.47798,             0.24683,            0.052514,            0.010531,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.042936,            0.010404,                   0,             0.61013,             0.41205,              0.4543,             0.23417,            0.052027,            0.010427,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.043256,            0.010222,                   0,             0.61108,             0.33735,             0.39128,             0.21795,            0.055623,            0.010172,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.043501,            0.010291,                   0,             0.65889,             0.35181,             0.42369,             0.22591,            0.054575,           0.0095229,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.043216,            0.010398,                   0,              0.6051,               0.432,             0.46187,             0.24262,            0.052587,            0.010499,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.043728,            0.010529,                   0,             0.64052,             0.38554,             0.44083,             0.23674,            0.052405,           0.0094275,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.042843,            0.010334,                   0,             0.71323,             0.36867,              0.4468,             0.23846,            0.053335,           0.0096917,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.043175,            0.010339,                   0,             0.70276,             0.43299,             0.49841,             0.25318,            0.052109,            0.010079,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.043033,            0.010145,                   0,                 0.7,             0.40481,             0.47932,             0.24989,            0.053796,           0.0099065,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.042795,             0.01029,                   0,             0.67536,             0.35422,              0.4232,             0.22817,            0.055181,            0.010691,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.043488,            0.010038,                   0,             0.69914,             0.37516,             0.45111,             0.24228,            0.053866,            0.010199,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.042674,            0.010029,                   0,             0.70625,             0.35663,             0.42873,              0.2335,             0.05195,            0.010902,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.043992,            0.010294,                   0,             0.62437,             0.36386,             0.43521,             0.23579,             0.05315,            0.011444,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.043105,           0.0099126,                   0,             0.66665,             0.36867,             0.43409,             0.23327,            0.054988,             0.01104,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.043191,             0.01019,                   0,             0.73116,             0.31566,             0.39565,             0.22026,            0.056265,            0.011222,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.042753,             0.01004,                   0,             0.74408,             0.38795,             0.46598,             0.24468,            0.052271,            0.010273,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.042355,           0.0099559,                   0,             0.68219,             0.38072,             0.45149,             0.23469,            0.052527,            0.011087,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.043149,            0.010069,                   0,             0.65172,             0.33735,             0.41893,             0.23133,            0.052953,            0.010798,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.042499,            0.010173,                   0,              0.7239,             0.34458,             0.43318,             0.23473,            0.053155,            0.010732,                   0,             0.00472,             0.00472,             0.00472
